	INDEX	form	lemma	xpos	syllables	stress	phon
0	64	șoul	șou	Ncmsry	șo.ul	ș'oul	S o u l
1	79	șăgi	șagă	Ncfp-n	șăgi	șăgi	S @ gZ
2	80	șăgi	șagă	Ncfson	șăgi	șăgi	S @ gZ
3	81	șăgii	șagă	Ncfsoy	șă.gii	ș'ăgii	S @ gZ i j
4	82	șăgile	șagă	Ncfpry	șă.gi.le	ș'ăgile	S @ g i l e
5	83	șăgilor	șagă	Ncfpoy	șă.gi.lor	ș'ăgilor	S @ g i l o r
6	84	șăicii	șaică	Ncfsoy	șăi.cii	ș'ăicii	S @ j tS i j
7	85	șăicile	șaică	Ncfpry	șăi.ci.le	ș'ăicile	S @ j tS i l e
8	86	șăicilor	șaică	Ncfpoy	șăi.ci.lor	ș'ăicilor	S @ j tS i l o r
9	87	șălviria	șălvirie	Ncfsry	șăl.vi.ri.a	șălvir'ia	S @ l v i r i a
10	88	șălvirie	=	Ncfsrn	șăl.vi.ri.e	șălvir'ie	S @ l v i r i e
11	89	șălviriei	șălvirie	Ncfsoy	șăl.vi.ri.ei	șălvir'iei	S @ l v i r i e j
12	90	șălvirii	șălvirie	Ncfp-n	șăl.vi.rii	șălvir'ii	S @ l v i r i j
13	91	șălvirii	șălvirie	Ncfson	șăl.vi.rii	șălvir'ii	S @ l v i r i j
14	92	șălviriile	șălvirie	Ncfpry	șăl.vi.ri.i.le	șălvir'iile	S @ l v i r i i l e
15	93	șălviriilor	șălvirie	Ncfpoy	șăl.vi.ri.i.lor	șălvir'iilor	S @ l v i r i i l o r
16	97	șa	=	Ncfsrn	șa	șa	S a
17	98	șașlâc	=	Ncms-n	șaș.lâc	șașl'âc	S a S l 1 k
18	99	șașlâcul	șașlâc	Ncmsry	șaș.lâ.cul	șașl'âcul	S a S l 1 k u l
19	100	șașlâcule	șașlâc	Ncmsvy	șaș.lâ.cu.le	șașl'âcule	S a S l 1 k u l e
20	101	șașlâcului	șașlâc	Ncmsoy	șaș.lâ.cu.lui	șașl'âcului	S a S l 1 k u l u j
21	102	șașlâcuri	șașlâc	Ncfp-n	șaș.lâ.curi	șașl'âcuri	S a S l 1 k u r i_0
22	103	șașlâcurile	șașlâc	Ncfpry	șaș.lâ.cu.ri.le	șașl'âcurile	S a S l 1 k u r i l e
23	104	șașlâcurilor	șașlâc	Ncfpoy	șaș.lâ.cu.ri.lor	șașl'âcurilor	S a S l 1 k u r i l o r
24	105	șabloane	șablon	Ncfp-n	șa.bloa.ne	șablo'ane	S a b l o_X a n e
25	106	șabloanele	șablon	Ncfpry	șa.bloa.ne.le	șablo'anele	S a b l o_X a n e l e
26	107	șabloanelor	șablon	Ncfpoy	șa.bloa.ne.lor	șablo'anelor	S a b l o_X a n e l o r
27	108	șablon	=	Ncms-n	șa.blon	șabl'on	S a b l o n
